Employee ID,Date,Customer Name,Order History,Total,
1009,2023-01-02,Yvonne,3 Beef-Bowl 3 water,34.32,
1003,2023-01-02,Jayden,1 Chicken-Burrito 1 Chips&Salsa,10.88,
1005,2023-01-02,Stephanie,1 Steak-Burrito 0,9.19,
1009,2023-01-02,Emily,4 Beef-Burrito 0,35.96,
1011,2023-01-02,Leonard,1 Veggie-Bowl 1 Chips&Salsa,10.48,
1011,2023-01-02,Rohan,2 Steak-Burrito 0,18.38,
1009,2023-01-02,Yvonne,5 Chicken-Burrito 0,43.45,
1006,2023-01-02,Robert,2 Veggie-Tacos 0,15.78,
1008,2023-01-02,Dakota,5 Chicken-Tacos 0,39.45,
1008,2023-01-02,Jeff,3 Beef-Tacos 1 soda,28.82,
1011,2023-01-02,Nicky,5 Beef-Tacos 0,43.95,
1009,2023-01-02,Stephen,1 Chicken-Bowl 0,8.69,
1006,2023-01-02,Bree,5 Chicken-Tacos 4 Chips&Queso,53.41,
1008,2023-01-02,Maple,2 Veggie-Bowl 0,16.58,
1012,2023-01-02,Dalal,4 Beef-Tacos 0,35.16,
1012,2023-01-02,Malcholm,3 Beef-Burrito 0,26.97,
1008,2023-01-02,Frank,2 Steak-Bowl 0,18.38,
1006,2023-01-02,Marcus,2 Beef-Burrito 0,17.98,
1005,2023-01-02,Marty,5 Veggie-Tacos 0,39.45,
1012,2023-01-02,Adam,4 Beef-Bowl 0,35.96,
1003,2023-01-02,Chang,1 Veggie-Bowl 2 Chips&Queso,15.27,
1011,2023-01-02,Malcholm,5 Veggie-Burrito 0,41.45,
1008,2023-01-02,Daniel,4 Beef-Bowl 4 Chips&Guacamole,50.72,
1012,2023-01-02,Chris,5 Beef-Bowl 0,44.95,
1011,2023-01-02,Rowan,1 Steak-Bowl 0,9.19,
1009,2023-01-02,Kathy,3 Steak-Burrito 0,27.57,
1006,2023-01-02,Parker,4 Steak-Bowl 0,36.76,
1003,2023-01-02,Toby,4 Veggie-Tacos 0,31.56,
1013,2023-01-02,Robert,1 Beef-Tacos 1 water,11.24,
1013,2023-01-02,Cole,4 Chicken-Bowl 2 water,39.66,
1006,2023-01-02,Ravish,1 Veggie-Bowl 0,8.29,
1008,2023-01-02,Logan,4 Veggie-Tacos 0,31.56,
1013,2023-01-02,Conner,3 Beef-Bowl 1 soda,29.42,
1011,2023-01-02,Frank,5 Steak-Bowl 3 Chips&Guacamole,57.02,
1006,2023-01-02,Kim,2 Veggie-Bowl 1 Chips&Salsa,18.77,
1015,2023-01-02,Caroline,2 Veggie-Bowl 4 Chips&Queso,30.54,
1003,2023-01-02,Martha,5 Veggie-Burrito 2 water,46.35,
1013,2023-01-02,Peyton,4 Beef-Tacos 4 Chips&Salsa,43.92,
1013,2023-01-02,Sage,3 Steak-Tacos 0,26.67,
1011,2023-01-02,Faith,5 Chicken-Burrito 4 Chips&Queso,57.41,
1005,2023-01-02,Garrett,3 Veggie-Burrito 4 Chips&Salsa,33.63,
1006,2023-01-02,Charlie,1 Steak-Burrito 4 Chips&Queso,23.15,
1013,2023-01-02,Marta,4 Chicken-Bowl 0,34.76,
1009,2023-01-02,Miguel,5 Steak-Tacos 2 Chips&Queso,51.43,
1009,2023-01-02,Octavion,3 Veggie-Burrito 1 Chips&Salsa,27.06,
1012,2023-01-02,Jayden,1 Chicken-Burrito 0,8.69,
1006,2023-01-02,Stephanie,3 Chicken-Bowl 0,26.07,
1009,2023-01-02,Logan,2 Chicken-Burrito 4 Chips&Queso,31.34,
1005,2023-01-02,Lauren,3 Chicken-Burrito 3 soda,33.42,
1008,2023-01-02,Morgan,3 Veggie-Tacos 2 Chips&Salsa,28.05,
1015,2023-01-02,Bailey,5 Veggie-Burrito 3 Chips&Guacamole,52.52,
1005,2023-01-02,Taylor,1 Veggie-Tacos 0,7.89,
1015,2023-01-02,Sue,3 Beef-Bowl 1 soda,29.42,
1013,2023-01-02,Daniel,5 Chicken-Burrito 0,43.45,
1005,2023-01-02,Blake,1 Beef-Burrito 0,8.99,
1003,2023-01-02,Frank,2 Steak-Burrito 2 water,23.28,
1006,2023-01-02,Gabriel,1 Chicken-Tacos 3 soda,15.24,
1008,2023-01-02,Reese,5 Chicken-Tacos 2 soda,44.35,
